Experiment_Type,Time,Accuracy
PT1,1.744865531,1.00
PT1,2.210422188,1.00
PT1,2.389402144,1.00
PT1,2.011476179,1.00
PT1,1.959010435,1.00
PT1,2.109930743,1.00
PT1,1.86938499,1.00
PT1,1.738098088,1.00
PT1,2.362067732,1.00
PT1,1.980894861,1.00
PT1,7.210375817,0.80
PT1,3.626198718,1.00
PT1,2.434285041,1.00
PT1,2.312833457,1.00
PT1,2.632411072,1.00
PT1,2.269347565,1.00
PT1,2.659916323,1.00
PT1,2.258036381,1.00
PT1,2.151679298,0.60
PT1,2.743132535,1.00
PT1,4.265670244,0.60
PT1,2.225330091,1.00
PT1,2.016781285,1.00
PT1,1.881094336,1.00
PT1,2.132868885,1.00
PT2,6.377375164,1.00
PT2,5.293927106,1.00
PT2,5.337615209,1.00
PT2,6.349148388,1.00
PT2,9.25049619,1.00
PT2,6.315766209,1.00
PT2,5.987426014,1.00
PT2,6.129189843,1.00
PT2,5.951911718,1.00
PT2,5.544204353,1.00
PT2,5.577947791,1.00
PT2,7.237182432,1.00
PT2,6.620617023,1.00
PT2,5.926918334,1.00
PT2,4.664067565,1.00
PT2,5.145677254,1.00
PT2,5.321667285,1.00
PT2,5.61330484,1.00
PT2,6.744895365,1.00
PT2,5.567506595,1.00
PT2,5.777571009,1.00
PT2,5.252256085,1.00
PT2,5.872324365,1.00
PT2,9.242361989,1.00
PT2,5.357785912,1.00
PT3,7.936948719,1.00
PT3,7.602366077,1.00
PT3,9.302669487,1.00
PT3,9.197253162,1.00
PT3,12.28701264,1.00
PT3,6.79120823,1.00
PT3,7.641948877,1.00
PT3,8.353728105,1.00
PT3,8.64108226,1.00
PT3,7.503906672,1.00
PT3,30.64598634,1.00
PT3,8.792807287,1.00
PT3,8.412859948,1.00
PT3,6.704461346,1.00
PT3,7.693537731,1.00
PT3,6.113570953,1.00
PT3,5.381304782,1.00
PT3,8.482762731,1.00
PT3,8.835517211,1.00
PT3,7.906493991,1.00
PT3,6.051490867,1.00
PT3,6.146138606,1.00
PT3,8.421625545,1.00
PT3,6.10950468,1.00
PT3,7.546789812,1.00
ST1,4.214503695,1.00
ST1,4.130802188,0.80
ST1,6.049900967,0.60
ST1,4.082025335,0.40
ST1,5.39678654,0.60
ST1,5.385389621,0.60
ST1,6.816168576,0.40
ST1,4.973797046,0.40
ST1,4.375643037,1.00
ST1,5.061384439,0.60
ST1,5.333982125,0.60
ST1,4.468762506,1.00
ST1,5.184400836,0.80
ST1,5.102947503,0.80
ST1,5.240068411,0.60
ST1,4.614097039,1.00
ST1,5.179049493,1.00
ST1,4.240707135,0.60
ST1,5.267441777,1.00
ST1,5.047686515,1.00
ST1,5.119240189,1.00
ST1,5.03927701,1.00
ST1,4.594810909,0.80
ST1,6.266684506,0.60
ST1,4.478647479,0.80
ST2,11.8323671,1.00
ST2,11.48573114,1.00
ST2,8.987247664,1.00
ST2,8.944212666,1.00
ST2,9.542273333,1.00
ST2,11.11301302,1.00
ST2,9.724072888,1.00
ST2,10.87856408,1.00
ST2,9.736350853,1.00
ST2,10.95031208,1.00
ST2,9.033028896,1.00
ST2,8.383478013,1.00
ST2,9.007771305,1.00
ST2,7.775660843,1.00
ST2,11.51415237,1.00
ST2,9.414789311,1.00
ST2,10.86433835,1.00
ST2,9.27201637,1.00
ST2,8.509643886,1.00
ST2,11.33562517,1.00
ST2,11.43872786,1.00
ST2,10.56577947,0.80
ST2,9.295138922,1.00
ST2,9.667509892,1.00
ST2,10.74374332,1.00
ST3,41.49691806,1.00
ST3,33.9862446,1.00
ST3,33.53154171,1.00
ST3,46.84996544,1.00
ST3,39.79824989,1.00
ST3,46.321564,1.00
ST3,17.00070541,1.00
ST3,39.22090385,1.00
ST3,33.00771535,1.00
ST3,45.84674196,1.00
ST3,26.1912276,1.00
ST3,37.18218289,1.00
ST3,35.32380872,1.00
ST3,35.24967254,1.00
ST3,13.66416247,1.00
ST3,39.26566483,1.00
ST3,32.25959851,1.00
ST3,15.87375624,1.00
ST3,29.90713289,1.00
ST3,16.7015404,1.00
ST3,12.96566354,1.00
ST3,15.69982675,1.00
ST3,41.07901793,1.00
ST3,24.33653959,1.00
ST3,16.79906125,1.00
HT1,15.05439539,0.00
HT1,13.34961334,0.00
HT1,15.39781311,0.00
HT1,15.75640135,0.00
